Level	Date and Time	User	Category	Description	
Alarm	13/09/2013 13:45:35	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	13/09/2013 13:45:35	administrator	System	MBB3A10014 was powered off by manually set.	
Information	13/09/2013 13:39:43	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	13/09/2013 13:39:43	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: CalDue OXY: Low OXY: BumpDue VOC: CalDue ]	
Information	13/09/2013 13:38:51	administrator	System	Data Forwarding: 172.18.12.73:26401 is connected.	
Information	13/09/2013 13:38:51	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:26401 passed authorization and logon.	
Alarm	13/09/2013 13:38:43	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	13/09/2013 13:38:43	administrator	System	MBB3A10014 was powered off by manually set.	
Alarm	13/09/2013 13:37:28	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Information	13/09/2013 13:34:28	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	13/09/2013 13:34:28	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:27:04	administrator	System	MultiRAE(MBB3A10014) is offline.	
Information	13/09/2013 13:27:04	administrator	System	MBB3A10014 left network because of entering PC Comm mode.	
Alarm	13/09/2013 13:23:52	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:23:42	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:21:51	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:21:03	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:20:23	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:20:13	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:19:43	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:18:53	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:18:43	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:10:22	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: Low OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:10:12	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: CalDue OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 13:10:02	administrator	System	MultiRAE(MBB3A10014) is in alarm: [Pump/Fan LEL: CalDue OXY: CalDue OXY: Low CO: CalDue VOC: CalDue ]	
Information	13/09/2013 13:09:51	administrator	System	MultiRAE(MBB3A10014) goes online.	
Alarm	13/09/2013 13:09:51	administrator	System	MultiRAE(MBB3A10014) is in alarm: [LEL: CalDue OXY: CalDue OXY: Low CO: CalDue VOC: CalDue ]	
Alarm	13/09/2013 11:30:42	administrator	System	Router(F082000008) is offline.	
Information	13/09/2013 11:19:10	administrator	System	Router(F082000008) goes online.	
Information	13/09/2013 11:17:52	administrator	System	ToxiRAE Pro(G021000006) goes online.	
Alarm	13/09/2013 11:15:42	administrator	System	Router(F082000008) is offline.	
Alarm	13/09/2013 11:12:42	administrator	System	ToxiRAE Pro(G021000006) is offline.	
Information	13/09/2013 11:08:13	administrator	System	ToxiRAE Pro(G021000006) goes online.	
Alarm	13/09/2013 11:07:42	administrator	System	ToxiRAE Pro(G021000006) is offline.	
Information	13/09/2013 11:03:00	administrator	System	ToxiRAE Pro(G021000006) goes online.	
Information	13/09/2013 10:48:01	administrator	System	Router(F082000008) goes online.	
Alarm	13/09/2013 10:42:41	administrator	System	Router(F082000008) is offline.	
Information	13/09/2013 10:13:06	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:3233 logoff.	
Information	13/09/2013 10:13:06	administrator	System	Data Forwarding: 172.18.50.81:3233 is disconnected.	
Alarm	13/09/2013 09:59:41	administrator	System	Router(F082000004) is offline.	
Information	13/09/2013 09:57:33	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.236:22241 logoff.	
Information	13/09/2013 09:57:33	administrator	System	Data Forwarding: 172.18.50.236:22241 is disconnected.	
Information	13/09/2013 09:52:33	administrator	System	Router(F082000004) goes online.	
Information	13/09/2013 09:48:46	administrator	System	Data Forwarding: 172.18.50.236:22241 is connected.	
Information	13/09/2013 09:48:46	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.236:22241 passed authorization and logon.	
Information	13/09/2013 09:44:41	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.236:22207 logoff.	
Information	13/09/2013 09:44:41	administrator	System	Data Forwarding: 172.18.50.236:22207 is disconnected.	
Information	13/09/2013 09:44:00	administrator	System	Data Forwarding: 172.18.50.236:22207 is connected.	
Information	13/09/2013 09:44:00	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.236:22207 passed authorization and logon.	
Information	13/09/2013 09:34:09	administrator	System	Router(F082000008) goes online.	
Alarm	13/09/2013 09:33:41	administrator	System	Router(F082000008) is offline.	
Information	13/09/2013 09:21:20	administrator	System	Data forwarding: ProRAE Guardian V1.60 rec-renkai at IP address 172.18.12.74:1748 logoff.	
Information	13/09/2013 09:21:20	administrator	System	Data Forwarding: 172.18.12.74:1748 is disconnected.	
Information	13/09/2013 09:13:31	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:3233 passed authorization and logon.	
Information	13/09/2013 09:13:28	administrator	System	Data Forwarding: 172.18.50.81:3233 is connected.	
Information	13/09/2013 09:09:04	administrator	System	Data Forwarding: 172.18.12.74:1748 is connected.	
Information	13/09/2013 09:09:04	administrator	System	Data forwarding: ProRAE Guardian V1.60 rec-renkai at IP address 172.18.12.74:1748 passed authorization and logon.	
Information	13/09/2013 08:19:40	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1741 logoff.	
Information	13/09/2013 08:19:40	administrator	System	Data Forwarding: 172.18.50.81:1741 is disconnected.	
Information	13/09/2013 07:17:14	administrator	System	Router(F082000008) goes online.	
Alarm	13/09/2013 07:16:41	administrator	System	Router(F082000008) is offline.	
Information	13/09/2013 03:32:20	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1741 passed authorization and logon.	
Information	13/09/2013 03:32:12	administrator	System	Data Forwarding: 172.18.50.81:1741 is connected.	
Information	13/09/2013 03:30:26	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1835 logoff.	
Information	13/09/2013 03:30:26	administrator	System	Data Forwarding: 172.18.50.81:1835 is disconnected.	
Information	12/09/2013 20:01:27	administrator	System	Cascade out: Disconnect from 50.19.81.10:9727 ...	
Information	12/09/2013 20:01:27	administrator	System	Cascade out: Connect to 50.19.81.10:9727 ...	
Information	12/09/2013 18:51:16	administrator	System	Router(F082000008) goes online.	
Alarm	12/09/2013 18:50:42	administrator	System	Router(F082000008) is offline.	
Information	12/09/2013 16:37:32	administrator	System	Data forwarding: ProRAE Guardian V1.80 rec-sw-wlxu at IP address 172.18.50.37:11024 logoff.	
Information	12/09/2013 16:37:32	administrator	System	Data Forwarding: 172.18.50.37:11024 is disconnected.	
Information	12/09/2013 16:22:39	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1835 passed authorization and logon.	
Information	12/09/2013 16:22:36	administrator	System	Data Forwarding: 172.18.50.81:1817 is disconnected.	
Information	12/09/2013 16:22:36	administrator	System	Data Forwarding: 172.18.50.81:1835 is connected.	
Information	12/09/2013 16:22:26	administrator	System	Data Forwarding: 172.18.50.81:1802 is disconnected.	
Information	12/09/2013 16:22:26	administrator	System	Data Forwarding: 172.18.50.81:1817 is connected.	
Information	12/09/2013 16:22:16	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1779 logoff.	
Information	12/09/2013 16:22:16	administrator	System	Data Forwarding: 172.18.50.81:1779 is disconnected.	
Information	12/09/2013 16:22:16	administrator	System	Data Forwarding: 172.18.50.81:1802 is connected.	
Information	12/09/2013 16:22:06	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1779 passed authorization and logon.	
Information	12/09/2013 16:22:03	administrator	System	Data Forwarding: 172.18.50.81:1761 is disconnected.	
Information	12/09/2013 16:22:03	administrator	System	Data Forwarding: 172.18.50.81:1779 is connected.	
Information	12/09/2013 16:21:53	administrator	System	Data Forwarding: 172.18.50.81:1745 is disconnected.	
Information	12/09/2013 16:21:53	administrator	System	Data Forwarding: 172.18.50.81:1761 is connected.	
Information	12/09/2013 16:21:43	administrator	System	Data Forwarding: 172.18.50.81:1731 is disconnected.	
Information	12/09/2013 16:21:43	administrator	System	Data Forwarding: 172.18.50.81:1745 is connected.	
Information	12/09/2013 16:21:33	administrator	System	Data Forwarding: 172.18.50.81:1716 is disconnected.	
Information	12/09/2013 16:21:33	administrator	System	Data Forwarding: 172.18.50.81:1731 is connected.	
Information	12/09/2013 16:21:23	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1671 logoff.	
Information	12/09/2013 16:21:23	administrator	System	Data Forwarding: 172.18.50.81:1671 is disconnected.	
Information	12/09/2013 16:21:23	administrator	System	Data Forwarding: 172.18.50.81:1716 is connected.	
Information	12/09/2013 16:21:13	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1671 passed authorization and logon.	
Information	12/09/2013 16:21:04	administrator	System	Data Forwarding: 172.18.50.81:1648 is disconnected.	
Information	12/09/2013 16:21:04	administrator	System	Data Forwarding: 172.18.50.81:1671 is connected.	
Information	12/09/2013 16:20:54	administrator	System	Data Forwarding: 172.18.50.81:1634 is disconnected.	
Information	12/09/2013 16:20:54	administrator	System	Data Forwarding: 172.18.50.81:1648 is connected.	
Information	12/09/2013 16:20:44	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1605 logoff.	
Information	12/09/2013 16:20:44	administrator	System	Data Forwarding: 172.18.50.81:1605 is disconnected.	
Information	12/09/2013 16:20:44	administrator	System	Data Forwarding: 172.18.50.81:1634 is connected.	
Information	12/09/2013 16:20:34	administrator	System	Data forwarding: ProRAE Guardian V1.80 w-rec-kren at IP address 172.18.50.81:1605 passed authorization and logon.	
Information	12/09/2013 16:20:25	administrator	System	Data Forwarding: 172.18.50.81:1605 is connected.	
Information	12/09/2013 16:20:24	administrator	System	Data Forwarding: 172.18.50.81:1591 is disconnected.	
Information	12/09/2013 16:20:14	administrator	System	Data Forwarding: 172.18.50.81:1574 is disconnected.	
Information	12/09/2013 16:20:14	administrator	System	Data Forwarding: 172.18.50.81:1591 is connected.	
Information	12/09/2013 16:20:05	administrator	System	Data Forwarding: 172.18.50.81:1574 is connected.	
Information	12/09/2013 16:20:04	administrator	System	Data Forwarding: 172.18.50.81:1559 is disconnected.	
Information	12/09/2013 16:19:55	administrator	System	Data Forwarding: 172.18.50.81:1543 is disconnected.	
Information	12/09/2013 16:19:54	administrator	System	Data Forwarding: 172.18.50.81:1559 is connected.	
Information	12/09/2013 16:19:44	administrator	System	Data Forwarding: 172.18.50.81:1543 is connected.	
Information	12/09/2013 16:16:04	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:20614 logoff.	
Information	12/09/2013 16:16:04	administrator	System	Data Forwarding: 172.18.12.73:20614 is disconnected.	
Information	12/09/2013 16:04:36	administrator	System	Data Forwarding: 172.18.12.73:20614 is connected.	
Information	12/09/2013 16:04:36	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:20614 passed authorization and logon.	
Information	12/09/2013 15:58:08	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:20522 logoff.	
Information	12/09/2013 15:58:08	administrator	System	Data Forwarding: 172.18.12.73:20522 is disconnected.	
Information	12/09/2013 15:50:31	administrator	System	Data Forwarding: 172.18.12.73:20522 is connected.	
Information	12/09/2013 15:50:31	administrator	System	Data forwarding: ProRAE Guardian V1.70 fchen-PC at IP address 172.18.12.73:20522 passed authorization and logon.	
